Name,x,y,Admin1,Admin2,Admin3
Zambutu Community Health Centre,5.1677,8.7841,Kwara,,
Aljenatu Community Health Clinic,5.8114,9.2974,Niger,,
Bali Community Health Post,4.8177,9.2054,Niger,,
Chatafu Community Health Clinic,5.7338,9.2177,Niger,,
Dagida Community Health Clinic,5.5243,9.6933,Niger,,
Dassun Community Health Clinic,5.5737,9.3273,Niger,,
Dikko Community Health Clinic,5.7394,9.267,Niger,,
Dumma Community Health Clinic,5.4856,9.1841,Niger,,
Edogi Community Health Pos,5.833,8.7536,Niger,,
Egangi Community Health Pos,4.8007,9.3029,Niger,,
Egbako Community Health Clinic,5.8088,9.3388,Niger,,
Egbanti Community Health Clinic,5.6331,9.2528,Niger,,
Emiworongi Community Health Clinic,5.8191,9.402,Niger,,
Fofo Community Health Post,5.256,9.0788,Niger,,
Foti Community Health Post,5.0596,9.2947,Niger,,
Gbachi Community Health Clinic,5.5171,9.2821,Niger,,
Gbamatingi COMMUNITY HEALTH CLINIC,5.5059,9.3601,Niger,,
Guzan Community Health Post,5.4833,9.0167,Niger,,
Jipan Community Health Clinic,5.5645,9.3426,Niger,,
Kara Community Health Post,4.8238,9.1664,Niger,,
Koegi Community Health Clinic,5.5286,9.5447,Niger,,
Koshaba Community Health Post,5.0335,9.1988,Niger,,
Kutiwongi Community Health Clinic,5.499,9.5027,Niger,,
Labefu Community Health Post,4.8151,9.2128,Niger,,
Lagun I Community Health Clinic,5.5249,9.495,Niger,,
Lanle Community Health Clinic,5.6452,9.2274,Niger,,
mashigi Dadi Community Health Clinic,5.5764,9.6475,Niger,,
Mayisa Community Health Clinic,5.6488,9.2797,Niger,,
Ndaruka Community Health Clinic,5.7826,9.3587,Niger,,
Panti Community Health Clinic,5.6691,9.2174,Niger,,
Ribiku Community Health Clinic,5,9.5838,Niger,,
S/Madina Community Health Clinic,5.3609,9.6286,Niger,,
Santali Community Health Clinic,5.7581,9.3885,Niger,,
Shebe Gbako Community Health Clinic,5.6267,9.2054,Niger,,
Shetti Community Health Post,5.2209,9.4266,Niger,,
Sonfadagabi Community Health Clinic,6.0395,8.9747,Niger,,
Tsoegi Community Health Clinic,5.8435,9.2851,Niger,,
Tswatagi Community Health Centre,6.0901,9.2098,Niger,,
Wa'abi Community Health Post,5.2242,9.3865,Niger,,
Wuchi Community Health Pos,5.8013,8.7749,Niger,,
Yeti Community Health Clinic,5.4613,9.4011,Niger,,
Yiddan Community Health Clinic,5.3763,9.5286,Niger,,
Zhiluko Health Community Health Clinic,5.5389,9.552,Niger,,
Zhiwu Community Health Post,5.2165,9.1225,Niger,,
Odogbolu 1 Community Health Clinic,3.7688,6.8474,Ogun,,
Akeredolu Comm. Health Centre,4.5524,7.3916,Osun,,
Area Iv Comm. Health Centre,4.6112,7.0608,Osun,,
Aye-Oba Communtiy Health Centre,4.6097,7.2869,Osun,,
Bode Osi Community Health Centre,4.2277,7.7556,Osun,,
Bolorunduro Afobi Communtiy Health Centre,4.5,7.2,Osun,,
Idi Ogun Adedire Communtiy Health Centre,4.606,7.1286,Osun,,
Isoya Community Health Centre,4.5402,7.3141,Osun,,
Onigbodogi Communtiy Health Centre,4.6,7.15,Osun,,
Ose Arowolo Community Health Centre,4.5967,7.1737,Osun,,
Osi Community Health Centre,4.5402,7.3141,Osun,,
Osogbo Government House Clinic,4.5428,7.7847,Osun,,
Yinmi Communtiy Health Centre,4.4833,7.1666,Osun,,
Government College Ibadan (GCI) Health Centre,3.8313,7.3785,Oyo,,
Bunga Community Clinic,9.1667,9.4667,Plateau,,
Chisu Community Clinic,9.1663,9.4666,Plateau,,
Dengi Government Secondary School (GSS) Primary Health Centre,9.9552,9.3617,Plateau,,
Dikibin Community Clinic,9.1332,9.342,Plateau,,
Hiktup Community Clinic,9.1665,9.4663,Plateau,,
Jakkom Community Clinic,9.1669,9.4664,Plateau,,
Kombiring Community Clinic,9.1528,9.2642,Plateau,,
Millet Community Clinic,9.1672,9.4667,Plateau,,
Murish Community Clinic,9.1672,9.4659,Plateau,,
Ruvwang Community Clinic,9.121,9.4312,Plateau,,
Telengpat Community Clinic,9.2185,9.4139,Plateau,,
Telengteng Community Clinic,9.2202,9.4164,Plateau,,
Washna Community Clinic,9.2468,9.4814,Plateau,,
Portharcourt Government House Clinic,7.0189,4.7677,River,,
Government House Clinic,5.2334,13.0313,Sokoto,,
Government House Clinic,11.3745,8.8878,Taraba,,
Damaturu Government House Clinic,11.9542,11.7321,Yobe,,
Babba Doka Community Dispensary,6.3622,11.2589,Zamfara,,
Chabi Community Dispensary,6.4594,12.3921,Zamfara,,
Dabah Community Dispensary,6.5434,12.6414,Zamfara,,
Dayau Community Dispensary,6.5532,12.6094,Zamfara,,
Dokau Community Dispensary,6.6782,12.0903,Zamfara,,
Gabiya Comm Dispensary,6.3717,12.2355,Zamfara,,
Galadima Government House Clinic,6.6638,12.1567,Zamfara,,
Gidan Bugaje Com Dispensary,6.4957,13.0764,Zamfara,,
Jakiri Community Dispensary,6.6477,12.1966,Zamfara,,
Kasumka Community Dispensary,5.9545,12.0805,Zamfara,,
Kwantaragi Community Dispensary,6.3145,12.2394,Zamfara,,
Lugga Community Dispensary,6.3395,12.3477,Zamfara,,
Madada Community Dispensary,6.5148,11.1634,Zamfara,,
Madira Community Dispensary,6.5608,12.6394,Zamfara,,
Magami Community Dispensary,6.6585,12.602,Zamfara,,
Maigoge Community Dispensary,6.449,11.3794,Zamfara,,
Mailallan Nagona C Dispensary,6.5132,12.4811,Zamfara,,
Mailalle Community Dispensary,6.6897,12.3779,Zamfara,,
Malamawa Comm Dispensary,6.3474,12.2336,Zamfara,,
T/Mudi (Kofa) Community Dispensary,6.5983,12.588,Zamfara,,
Tsibiri Community Dispensary,6.4206,13.0099,Zamfara,,
U Galadima Comm Dispensary,6.2621,12.292,Zamfara,,
Yamatsawa Community Dispensary,6.562,12.5311,Zamfara,,
Yan Ruma Community Dispensary,6.5634,12.6654,Zamfara,,
Yar Dole Community Dispensary,6.5564,12.3942,Zamfara,,
Methodist Church Hospital,7.580021878,10.45890982,,,
Announciation Specialist hospital,7.591910267,6.468440282,,,
Kwajaffa Primary Health Centre,12.41729732,10.46710204,,,
varg pharmacy,3.414949753,6.607053575,,,
Sheperd Specialist Hospital,3.298492093,6.46495274,,,
Primary health clinic ikukkumung,8.856243918,9.908063717,,,
Araba Primary Health Centre,5.303702165,13.76370313,,,
Dialogue Pharmacy,7.446890434,10.54490622,,,
Nigerian police clinic,8.880871039,9.918014294,,,
General Hospital Kebbe,4.731971879,12.12124012,,,
Crystal Clinic,7.4110495,10.47844762,,,
Mdg Bendu,4.132597322,11.67603928,,,
Tedi Primary Health Center Ojo,3.22761472,6.446307029,,,
General Hospital Baro Dikko No19 Kaduna Road Nasarawa Kafuna,7.396930267,10.47071573,,,
Kamzone Medical Diagnostic,3.264522586,6.546757684,,,
Primary Health Centre Gari 2,12.10988818,10.21565727,,,
Standard Clinic,5.249950026,13.04834559,,,
Damfamin Tofa Health Post,8.428341893,12.22263668,,,
Ojuoluwa Medical Centre,3.081402142,6.565789382,,,
Apikobugai Clinic,7.655986061,10.50662917,,,
Elisafe faith maternity home,3.237350384,6.530344241,,,
General Hospital Kaura,6.593044062,12.58386728,,,
PHC Bachaka,4.143626649,13.16285252,,,
Pharmacy,5.577875643,6.325744164,,,
Coker Primary Health Center,3.361646045,6.548527775,,,
Rann Primary Health Centre,14.46209714,12.26910394,,,
Yusuf Dantsoho Hospital Kv 206 Lbrahim Taiwo Road Tudun Wada Kaduna,7.410982361,10.51227405,,,
Jabo PHC,4.960058887,12.50975382,,,
Phc Maraba Rido No1 Green House Opp Sabon Rai By Gyara Junction,7.52204593,10.43109464,,,
PHC,6.156601717,8.951183723,,,
Kauna Clinic Kujama By Novin Gust House Maraba Rido,7.532836457,10.43357828,,,
Datam Conv Health Care Center,3.25062405,6.522555442,,,
"Hossana Hospital, Agbowo",3.910354931,7.442079976,,,
Runsewe Hospital,3.399698628,6.45074642,,,
Hayin Gwarmai Health Post,8.203550566,11.45991333,,,
Gwamna Awan General Hospital Nassarawa Kaduna Amaka Vitalis Chemist Before Household Of Love Church Lamigyi Gonin Gora Kaduna,7.388469239,10.41966718,,,
Hilton Hospital,3.320668597,6.448513816,,,
Kelle Dispensary,13.20412527,10.69336842,,,
Biu Isolation Centre,12.17010494,10.61882052,,,
Mch Clinic,6.490507235,11.29377152,,,
Military Hospital,7.004973951,4.826068549,,,
Oranyan Health Centre,3.90075212,7.37522424,,,
PHC Maitemako,6.602995058,9.486863192,,,
El-Roi Inland Missions Hospital,8.879957244,9.938752882,,,
White Hall Medical Centre,7.485498988,6.450651956,,,
Anturu Primary Health Center,7.437620719,10.46818892,,,
Mbolinyi Health Post,12.95427456,10.09647943,,,
Hospitals Zci Rock Road Tudun Nupawa,7.414761593,10.51710135,,,
Gimo Maternity Buba Sauri Road Romi,7.42413189,10.53165284,,,
"Government Chest Hospital,Jericho",3.872056842,7.394264152,,,
Pamo,7.024673184,4.837557372,,,
Day Star Health Cares,3.28141472,6.62572066,,,
Phc,5.967217644,12.67285166,,,
Agodo Primary Health Center,3.279374648,6.532027579,,,
Moonlight Clinic & Maternity,7.479645319,6.424451049,,,
PHC,6.936890769,9.648793934,,,
First Opinion Medical Laboratory,7.523002054,6.458629097,,,
Agbara Primary Health Care Center,3.102409119,6.504107627,,,
Alhajiri Primary Health Clinic,12.88123449,11.47467277,,,
Plateau state specialist hospital,8.883747624,9.896432066,,,
Ntasi Obi Ndi No Naafufu Specialist Hospital,7.501389987,6.476538961,,,
Lee Way Medical Center,3.274517168,6.62163926,,,
"Omak Pharmacy, opposite UI",3.90686697,7.442526983,,,
Yamtake Dispensary,13.5072029,11.10776787,,,
"Oluyole Chemist, Eleyele Road",3.863209995,7.414806939,,,
Affinity Laboratory Medical Lab.,8.861385125,9.956752349,,,
Shikarkir Federal Health Centre,12.77626448,10.80348986,,,
PHC Kambuwa,5.032899638,10.94190014,,,
Alliero State University Hospital,4.499511529,12.30452913,,,
Neuro Spinal Clinic,7.479772975,6.460940994,,,
St Gerards Catholic Hospital Kakuri Kaduna Our Lady Of Fatima Girls Secondary Schools Sabon Tasha Kaduna,7.469053527,10.44694264,,,
PHC,3.78465857,10.37738802,,,
Primary Health Centre Danchadi,5.208942319,12.79910827,,,
Primary Health Care Kurfa,4.971206819,12.19384408,,,
Buwa Health Clinic,13.50952142,12.60913084,,,
Chidove Homoeopathic Medical Center,3.16532578,6.487065039,,,
Korko Dispensary,11.60362474,10.27118654,,,
PHC,6.987285286,9.72715467,,,
Kwando Primary Health Centre,8.682696528,10.70812107,,,
Divine Favour Maternity Home,3.352517147,6.534354563,,,
PHC Daza,6.326019426,9.626528833,,,
Eginna Memorial Maternity Home Clinic,6.562672069,9.210871177,,,
Ecwa Health Clinic & Maternity,8.912424965,9.911294689,,,
Hago Primary Health Centre,7.831174124,11.4799185,,,
Gumsuri Clinic,12.80828855,11.05987543,,,
PHC Yola,4.519758184,12.8290403,,,
Raufmomic Health Care,3.258906795,6.638922493,,,
Excellence Medical center Bida Bidi Jos,8.855613263,9.983674938,,,
NRC Dispensary,4.534462054,12.74538547,,,
Federal Teaching Hospital Mosque,11.13873824,10.29688327,,,
Husara Health Post,13.23597222,10.4838485,,,
Tswachiko Clinic,6.16164427,9.000227496,,,
Ramat Hospital Hayin Banku Kaduna,7.442110737,10.5723184,,,
Olutayo Nursing Home,3.152944619,6.465849688,,,
PHC Kafin Tela,6.568137069,9.602099944,,,
Adetutu Clinic Ltd,3.329012949,6.503313526,,,
Metro hospital,11.1467868,10.29874557,,,
Primary Health Centre Jenta Adamu,8.874657953,9.925005555,,,
University Clinic,9.79362685,10.27891717,,,
Rijiya Clinic,5.229852821,13.04569598,,,
Hasbuna Ilahu Patent Medicine Store,3.887288185,7.383174559,,,
Yusuf Dantsoho General Hospital Kaduna Inside Sir Kashim Ibrahim House Kafuna,7.41872858,10.52848976,,,
Phc Jangebe,6.070894578,12.22310103,,,
Gumsuri Federal Medical Centre,12.80731197,11.05151364,,,
Yetu Hospital,5.986671622,9.069470482,,,
Multafu Primary Health Centre,13.27280834,10.77040724,,,
Legus Specialist Hospital,3.365869183,6.530781777,,,
PHC Jandutsi,4.511661936,12.13892376,,,
PHC Buzan,5.714832169,9.906067399,,,
Cocin Clinic And Maternity,7.434595188,10.44719192,,,
Primary Health Care Kwadom,11.28773604,10.2766414,,,
"Mdgs Primary Health Centre, Sabongari",6.570060297,12.57429389,,,
Lakeland Specialist Clinic,5.774106055,5.546994197,,,
Primary Health Care By Yakowa Way Karjipu,7.467251082,10.49561719,,,
HealthPlus,3.451442128,6.435949595,,,
44 Reference Hospital Plot A12 By Rail Line,7.443561729,10.57767602,,,
Hwolshe medical center Tudun Wada,8.866885833,9.891936684,,,
BILKISU MEDICAL CENTER TINGA,8.468977444,11.96527126,,,
Kunook Pharmacy,8.8590941,9.958068056,,,
Maraban Rido Primary Health Center,7.528649529,10.43221572,,,
Kwata Phc,6.650722285,12.17000595,,,
Portal-Gate Pharmacy,3.912339934,7.470297988,,,
Model PHC Centre Raha,4.075698365,12.08020937,,,
BHC Badeggi,6.147849669,9.052858975,,,
PHC Kauna,7.068664094,9.523759659,,,
Emmanuel Chosen,3.907402574,7.48328449,,,
Gawa Town Health Post,13.85438384,11.9440394,,,
Kuma Dispensary,13.19577438,10.41599062,,,
New Life Fountain Hospital,8.913833963,9.92381784,,,
Genaral Hospital Kambaza,4.571001787,12.45938806,,,
savannah health facility,11.9155965,9.589474283,,,
Gadiya Dispensary,10.44522184,11.9627608,,,
Grace Hospital,8.911165332,9.89582178,,,
Itireijesha Primary Health Care,3.337236518,6.509943863,,,
Farin Gida Alpha Specialist Hospital,7.417547067,10.58244834,,,
Dan Hyrum Pharmacy,7.640678023,12.97839743,,,
Gwapopolok Health Clinic,12.16414273,10.25307677,,,
Orthopedic Hospital No12 B Ustaz Yunuz Street,7.432202657,10.54403878,,,
Ajigin Mairi Health Clinic,12.28703936,11.17088863,,,
First Holistic Health Physiotherapy Clinic,7.494652949,6.425601968,,,
Kakuri Hausa Primary Health Center,7.41348352,10.46478646,,,
Apollo Cresent pharmacy & stores,8.875669481,9.898678836,,,
Ogundimu Primary Health Care Centre,3.291464622,6.624037155,,,
Wushi H Post,9.607563185,10.73027083,,,
Huse Of Peace Specialist Clinic,3.340732275,6.5314473,,,
Royal Okhia Pharmacy,5.589700497,6.362872475,,,
Boboshe Dispensary,13.80958299,11.8054251,,,
Majiya Tsakar Gida Primary Health Centre,5.343343873,12.89215284,,,
EBIKON Medical Diagnostic LAB kabong,8.86913629,9.928893836,,,
Primary Health Centre Samawa,6.765986194,12.28835968,,,
PHC,4.348066632,10.58032915,,,
Pathcare Laboratories,3.274161775,6.470852091,,,
Numa Clinic and Maternity,5.757172766,5.522008247,,,
Merian Primary Health Care Center,3.281827528,6.663645755,,,
Gangwoni Health Clinic,12.23597689,8.228961227,,,
"St. Peters Maternity Health Centre, Aperin",3.918667935,7.375425824,,,
Marabawa upgraded dispensary,5.306026299,13.21811986,,,
Zuwo Health Post,8.205522492,11.75029246,,,
EYN Dispensary,12.32928466,10.50988763,,,
Express Care Clinic,6.34706957,4.954013775,,,
PHC Nassarawa,4.629923465,9.854023492,,,
Medicine Store,7.51935425,6.457631399,,,
Renue Clinic,3.278299082,6.470128481,,,
44 Military Hospital And Yusuf Dantsoho Hospital Kaduna Opposite Police Statoin Kurmin Mashi,7.414009233,10.5570174,,,
Kelvin Medical Store,5.587572918,6.368908786,,,
Kogo Primary Health Centre,8.171970069,11.62300354,,,
Mufa A,13.13125702,11.78775026,,,
Far East Medical Center,3.274354894,6.422323219,,,
Nasiha clinic and Maternity,8.893805321,9.937157052,,,
Tonia Pharmacy,7.462492257,9.076430227,,,
Tudun Nupawa Primary Health Center,7.416856063,10.51631815,,,
Tudun Kaya Health Post,7.930957999,11.73324878,,,
Excellence foundation international,8.880185483,9.929047477,,,
Risaaj Hospital And Medicure,3.344127197,6.516267673,,,
PHC Lafia Arziki,6.350892891,10.34217028,,,
Potungi Health Centre,6.179398482,9.040870255,,,
Baskore Health Post,8.147879473,11.84269716,,,
KASU Dental Clinic,7.448344023,10.51772932,,,
PHC Kangi,4.612625648,11.59087495,,,
Cj Confidence Care,3.24522074,6.558885376,,,
PHC Hammak,7.234035691,9.301432025,,,
Grace Olambipo Clinic,3.170226176,6.505941169,,,
Badari Health Post,7.893614944,11.80309049,,,
Glasmithkline Company Clinic,3.354434926,6.554672464,,,
"FIOLU PHARMACY LTD Pharm Awotuyi G127, Isale, Gambari Rd, Oko Erin 240101, Kwara, Nigeria",4.555041638,8.500391643,,,
Savannah Hospital And Maternity,7.415693661,10.44285144,,,
Author Pharmacy,7.531809087,6.458485599,,,
Late Yahaya Umar PHC Dukamaje,5.812832375,13.75144804,,,
Babu Pharmacy,7.531273735,6.460195675,,,
Pat Medicine Store,7.528774671,6.457847987,,,
Madi Memorial Hospital,11.09675354,10.29537218,,,
MADADI,8.473160684,11.95897427,,,
Divine Blessing Hospital,3.230693225,6.540172442,,,
MPHC Felande,4.493664398,12.68326735,,,
PHC Kuchiywi,6.877100726,9.702038968,,,
Ghung Health Post,12.52227773,10.41088864,,,
Maternity Child Health Care,6.709779163,9.869631266,,,
PHC,6.977324148,9.588438867,,,
Day Spring Hospital,3.265428419,6.552291584,,,
PHC Gorin Dikko,3.997130177,12.58307067,,,
Bulonguwa Maibe Dispensary,13.87817328,11.94093834,,,
National Healthcare Center,7.441107591,10.51970167,,,
"Fiolu Pharmacy Ltd, Gambari Road, Oko Erin, Nigeria",4.555087152,8.500588786,,,
Ajiboye Clinic And Maternity Home,3.281228055,6.57821832,,,
FIRST CLASS CLINIC AND MATERNITY,8.479552975,11.96305299,,,
Odu Primary Health Clinic,7.895417472,8.45457197,,,
Wuro Bakumbo Health Post,12.02406889,9.307323078,,,
Agape Medical Centre,3.258234818,6.607016695,,,
Lehobi Primary Health Care,12.81627223,10.70694903,,,
PHC Rudu,5.297453289,12.87201113,,,
Wali Bako Clinic,5.251990517,13.03788958,,,
Abbaganaram  PHC,13.15634197,11.85783756,,,
Hawadin Galadima Primary Health Centre,8.235579745,11.86576156,,,
Skylark Pharmacy,7.468911789,9.071294552,,,
Uda Dispensary,13.08230143,10.49703189,,,
Walama Dispensary,11.96277764,10.28377943,,,
Nassarawa Primary Health Center,7.397978927,10.46008496,,,
Durbe Dispensary,14.00415462,11.72206146,,,
Yabal Dispensary,13.43260555,11.7334554,,,
Kyenpia pharmacy,8.8835737,9.896623341,,,
Badoki Primary Health Centre,5.00214677,12.06058088,,,
Malamawa Health Post,7.859758928,11.83523483,,,
PHC Bubuche,4.634920756,12.86085783,,,
Roland Orthopedic Hospital,3.236773122,6.532616492,,,
Braunx Pharmaceuticals,7.53184295,6.458270184,,,
Tofaan's Hopital,3.24537899,6.59906009,,,
Igbologun Medical Center,3.252320547,6.413752639,,,
Muna Moforo Refugee Site,13.24651297,11.86690468,,,
Phc Hayin Alhaji,7.115547096,12.05958737,,,
Mch Mahuta,4.968806158,11.55662666,,,
Sabo Crown Hospital,3.172857423,6.462143797,,,
General Hospital Sabon Tasha No29 Layin Sarki Beside De Gideon Medical Kamazo,7.488555869,10.45666917,,,
Lawanti Health Clinic,13.41351367,12.57727022,,,
PHC Fana,3.929066021,11.70905685,,,
Whimsical Clinic,7.02685164,4.833943599,,,
PHC Marafa,7.075624426,9.526530465,,,
Mdgs PHC Tungar Giwa,4.589908679,11.31908285,,,
The Ark Hospital And Maternity Centre,3.254318457,6.606336252,,,
PHC Gebbe,4.603826158,11.01821184,,,
dallum dispensary,11.52998989,9.436945941,,,
RHC Asara,5.273748596,13.44929987,,,
Mandafuma Community Dispensary,12.2511323,10.71200767,,,
Doma health Clinic Gombe,11.34666979,9.724102819,,,
General Hospital ahoada,6.645076319,5.093015485,,,
Koljiri Dispensary,12.89625654,11.08390492,,,
PHC Assada,5.238736381,13.06626065,,,
Ibadan North East LG,3.933795594,7.403650291,,,
PHC Hamma Ali,5.33412378,13.17194773,,,
Health Center,6.130365689,9.028483897,,,
Stahealth specialist hospital,8.878954349,9.931371694,,,
Dambitam Dispensary,11.74866176,10.44678037,,,
Orisegun Med Center,3.349665959,6.524913858,,,
Guba Dispensary,11.86867653,10.55778459,,,
Kena Hospital,3.183157022,6.46595488,,,
Amrullah Hospital,7.399050554,10.51501015,,,
Wisdom Hospital And Maternity,3.19820698,6.50232488,,,
The Muslim Hospital Annex,4.43901003,7.749405389,,,
Jara Dali Primary Health Centre,11.70159637,10.24943936,,,
Taffi Awori Primary Health Centre,3.073602278,6.407811378,,,
Barau Dikko Teaching Hospital NoT15 Darma Road Kawo,7.44899052,10.57737805,,,
Tashan Goigoi Clinic,13.68998614,11.07084893,,,
44 Hospital No8 Togo Street Malali,7.467838486,10.56168184,,,
PHC Popoi,6.363937899,9.632090058,,,
Dusula Dispensary,12.47256458,11.22911804,,,
Buwaya Health Clinic,7.407027443,10.40482282,,,
Bimtom Hospital,3.327302371,6.499539239,,,
Tolajide Health Centre,3.356712122,6.528957623,,,
Gods Grace Maternity Faith Home,3.887474347,7.382392192,,,
Primary Health Care Center,6.290337999,12.74823179,,,
Phc Ruwangizo,5.996723955,12.24087503,,,
Donas Hospital,3.418120627,6.601153973,,,
Kauyen Mahuta Health Post,8.153916623,11.86630412,,,
Teli Health Centre,11.70648847,10.44569189,,,
PHC Kwakwere,4.027210145,11.86704349,,,
Dispensary,5.863603239,13.52851087,,,
Central Hospital Warri,5.734385389,5.517933468,,,
Ririwai Primary Health Centre,8.727918572,10.75012899,,,
Focus hospital,8.874083541,9.90655707,,,
Gilgal Dental Clinics,3.430472618,6.448193795,,,
M b Tukur Primary Health Care Malali,7.472084423,10.56125738,,,
Uding Maternal And Child Health Clinic,12.90529843,10.15338987,,,
Chuks Pharmacy,7.518531734,6.45798193,,,
Julimate Vet,8.867466699,9.940311665,,,
PHC,4.276304717,12.57761723,,,
Hf Dental Eye Clinic,3.30578636,6.459237372,,,
General Hospital Bungudu,6.559358199,12.27150108,,,
Phc Dogon Kade,6.764662524,12.30724805,,,
Tree Star Hospital No1 Natata Street,7.416286429,10.43534167,,,
Muttex Pharmacy,4.181620475,7.63477423,,,
Far East Maternity Center,3.296874721,6.456789353,,,
First dental consultants dental centre,7.501049933,6.449199959,,,
Ali Jodi PHC,5.256579776,13.04660139,,,
Dugabau Primary Health Centre,8.207099044,11.80271347,,,
tinyema heath post,12.44889467,8.767401779,,,
Orthopedic hospital,3.236808578,6.532619593,,,
Barga PHC,4.642801841,12.17047006,,,
Zenith PHC,3.390151054,6.46532255,,,
Limanti Dispensary,11.66198986,10.57067864,,,
Primary PHC Wali,4.633849968,12.71651484,,,
Quest Medical Diagnosis,3.271224086,6.601611876,,,
"Eleko, Orelope Hospital, Jebba Road, Ilorin, Nigeria",4.619473663,8.535872323,,,
